id,title,content,prefix,source
1,Lịch sử hình thành,"Tiền thân của Trường Đại học Tôn Đức Thắng (Ton Duc Thang University: TDTU) là Trường Đại học Công nghệ Dân lập Tôn Đức Thắng, thành lập theo Quyết định 787/TTg-QĐ ngày 24/9/1997 của Thủ tướng Chính phủ. Trường do Liên đoàn lao động Thành phố Hồ Chí Minh sáng lập và quản lý thông qua Hội đồng quản trị do Chủ tịch Liên đoàn lao động Thành phố đương nhiệm làm chủ tịch.

Mục tiêu thành lập TDTU trong giai đoạn đầu là: thực hiện Chương trình 17/TU và Chỉ thị 13 của Thành ủy Thành phố Hồ Chí Minh về đào tạo, đào tạo lại, bồi dưỡng và nâng cao trình độ chuyên môn, tay nghề cho giai cấp công nhân Thành phố; phát triển nguồn nhân lực cho nhu cầu công nghiệp hoá - hiện đại hoá; góp phần đào tạo nhân tài, nhân lực, thực hiện nghiên cứu để phục vụ hệ thống sản xuất, xã hội ở Thành phố Hồ Chí Minh và các tỉnh phía Nam.

Ngày 28/01/2003, Thủ tướng Chính phủ ra Quyết định số 18/2003/TTg-QĐ chuyển đổi pháp nhân và đổi tên Trường Đại học Công nghệ Dân lập Tôn Đức Thắng thành Trường Đại học Bán công Tôn Đức Thắng trực thuộc Ủy ban nhân dân Thành phố Hồ Chí Minh. Như vậy, sau 5 năm rưỡi là đại học dân lập hoạt động với mục tiêu đào tạo nhân lực, chuyên gia theo mô hình đại học công nghệ-kỹ thuật ứng dụng; bằng quyết định này, TDTU trở thành đại học khoa học ứng dụng đa ngành và không còn pháp nhân dân lập.

Ngày 11/6/2008, Thủ tướng Chính phủ ra Quyết định số 747/TTg-QĐ đổi tên Trường Đại học Bán công Tôn Đức Thắng thành Trường Đại học Tôn Đức Thắng và chuyển về thuộc Tổng Liên đoàn lao động Việt Nam. Trong thời gian này, mục tiêu của trường được bổ sung thêm là ""trực tiếp phục vụ việc phát triển nguồn nhân lực trong công nhân, người lao động để góp phần xây dựng giai cấp công nhân Việt Nam theo tinh thần Nghị quyết 20-NQ/TW ngày 28/01/2008 của Hội nghị Lần thứ 6 Ban chấp hành trung ương Đảng Khóa 10"". 

Ngày 29/01/2015, tại Quyết định số 158/QĐ-TTg, Thủ tướng Chính phủ phê duyệt Đề án thí điểm đổi mới cơ chế hoạt động của Trường Đại học Tôn Đức Thắng giai đoạn 2015-2017. Mục tiêu của Trường Đại học Tôn Đức Thắng được xác định rằng: “Đại học Tôn Đức Thắng chủ động huy động, sử dụng hợp lý, hiệu quả nhất các nguồn lực của trường và xã hội để phát triển Trường Đại học Tôn Đức Thắng thành một đại học định hướng nghiên cứu có chất lượng trong khu vực và trên thế giới, đồng thời bảo đảm các đối tượng chính sách, đối tượng thuộc hộ nghèo có cơ hội tiếp cận các chương trình đào tạo của trường”.

",trường đại học Tôn Đức Thắng,https://tdtu.edu.vn/gioi-thieu/lich-su-hinh-thanh-va-muc-tieu
2,"Sứ mạng, tầm nhìn và văn hóa","
SỨ MẠNG của trường đại học Tôn Đức Thắng: Giáo dục, nghiên cứu và sáng tạo để phát triển nhân loại bền vững

TẦM NHÌN của trường đại học Tôn Đức Thắng: Vì sự phát triển con người và một thế giới hòa bình, hạnh phúc

CHÍNH SÁCH CHẤT LƯỢNG của trường đại học Tôn Đức Thắng:
1. Lãnh đạo và quản lý: bảo đảm hệ thống quản lý tinh gọn, minh bạch và dân chủ; liên tục rà soát và cải tiến nhằm quản lý rủi ro và tăng hiệu quả hoạt động;
2. Nguồn nhân lực: tuyển dụng, đào tạo, duy trì và phát triển nguồn nhân lực chuyên môn, có trình độ khoa học cao, liêm chính, chuyên nghiệp và trách nhiệm;
3. Tài chính, cơ sở vật chất và hệ thống công nghệ thông tin: vận hành mô hình tài chính bền vững và minh bạch; đầu tư và phát triển cơ sở vật chất bảo đảm sự hiện đại, đầy đủ, chuyên sâu; đẩy mạnh chuyển đổi số để phát triển các dịch vụ thông minh, nhằm phục vụ kịp thời cho việc thực hiện các mục tiêu chiến lược trong từng giai đoạn phát triển;
4. Hoạt động đào tạo và khoa học công nghệ: liên tục đổi mới sáng tạo nhằm đáp ứng nhu cầu các bên liên quan; phát triển các lĩnh vực nghiên cứu chuyên sâu đặc thù, đóng góp hiệu quả cho sự phát triển của địa phương, quốc gia và quốc tế;
5. Kết nối và phục vụ cộng đồng: truyền thông TDTU trong nước và quốc tế; liên tục mở rộng quan hệ hợp tác với các đối tác và mạng lưới trong và ngoài nước gồm doanh nghiệp, hiệp hội nghề nghiệp, các trường đại học, các tổ chức chính phủ và phi chính phủ để nâng cao vị thế, uy tín của Trường.

VĂN HÓA của trường đại học Tôn Đức Thắng: Chất lượng và sự tin cậy

NGUYÊN TẮC ỨNG XỬ của trường đại học Tôn Đức Thắng: Công bằng, Hiệu quả, Phụng sự",trường đại học Tôn Đức Thắng,https://tdtu.edu.vn/gioi-thieu/su-mang-tam-nhin-chinh-sach-chat-luong
3,Mục tiêu phát triển,"Trường Đại học Tôn Đức Thắng có trách nhiệm phát triển con người; phụng sự đất nước Việt Nam; giáo dục nguồn nhân lực chất lượng cao cho Thành phố Hồ Chí Minh và cả nước; trong đó, có sự chú trọng đào tạo đội ngũ công nhân - lao động; thực hiện nghiên cứu ứng dụng, nghiên cứu khoa học ngày càng hiệu quả để thúc đẩy đất nước phát triển trong dài hạn; cam kết cống hiến ngày càng nhiều và tốt hơn cho một Việt Nam phồn vinh, ổn định và bền vững; cũng như góp phần tạo dựng một thế giới văn minh và hòa bình.

Mục tiêu dài hạn của Trường Đại học Tôn Đức Thắng là một đại học nghiên cứu trong vòng ba thập niên tới, song song với việc giữ vai trò đào tạo, đào tạo lại, bồi dưỡng và nâng cao trình độ chuyên môn, tay nghề, phục vụ nhu cầu cung ứng nhân lực chất lượng cao cho tiến trình công nghiệp hóa, hiện đại hóa của Việt Nam. Để thực hiện mục tiêu này, chính sách cơ bản của TDTU là:
Liên tục tuyển lựa kỹ và đào tạo lực lượng chuyên môn; xây dựng đội ngũ khoa học có trình độ cao, chuyên nghiệp và trách nhiệm;
Phát triển liên tục, bền vững hoạt động nghiên cứu khoa học, nghiên cứu ứng dụng, quản trị giáo dục; thói quen làm việc theo ISO trong các lĩnh vực; thực hiện kiểm định khách quan để tiêu chuẩn hóa tất cả đầu ra;
Đầu tư lâu dài và liên tục cho cơ sở vật chất trong ba thập niên; bảo đảm trang bị, thiết bị ngày càng đầy đủ, chuyên sâu và kịp thời cho việc thực hiện các mục tiêu chất lượng trong giáo dục và khoa học - công nghệ từng giai đoạn;
Truyền thông về TDTU trong nước và quốc tế; mở rộng số lượng chuyên gia và du học sinh nước ngoài; TDTU trở thành đầu mối quốc tế hóa của khu vực;
Tiếp tục mở rộng hợp tác với các đại học TOP 500 của thế giới; tạo nhiều cơ hội học tập kinh nghiệm quản lý hiện đại, tiếp cận nền học thuật tiên tiến và phương thức giáo dục tối ưu; bảo đảm chất lượng đạt chuẩn quốc tế. Chương trình giáo dục và văn bằng của TDTU được kiểm định và công nhận bởi các Tổ chức quốc tế.",trường đại học Tôn Đức Thắng,https://tdtu.edu.vn/gioi-thieu/dinh-huong-phat-trien
4,Vị trí xếp hạng,"Vị trí của Trường Đại học Tôn Đức Thắng trong các bảng xếp hạng đại học thế giới:
Thứ 601-800 thế giới (THE World University Rankings)
 Top 150 đại học trẻ tốt nhất thế giới (Young University Rankings 2023)
Thứ 601+ các đại học bền vững (QS Sustainability Rankings)
 Thứ 86 Châu Á (THE Asia University Rankings 2023)
Thứ 138 Châu Á (QS Asia University Rankings)
Thứ 114 thế giới về phát triển bền vững (UI GreenMetric)
Top 500 thế giới (URAP)
Top 300 thế giới (US News & World Report Rankings)
 Top 800 thế giới (THE Impact Rankings)
",trường đại học Tôn Đức Thắng,https://tdtu.edu.vn/gioi-thieu/xep-hang
5,Văn phòng tư vấn,"Sinh viên có thể liên hệ với Văn phòng Tư vấn và Hỗ trợ các vấn đề sau:

Các vấn đề liên quan đến học vụ như: Đăng ký môn học (Kế hoạch học tập, đăng ký môn học, thời khóa biểu,…); Đánh giá môn học (Lịch thi, hoãn thi, chuyển giờ thi, dự thi sau khi hoãn thi, phúc khảo, xem lại bài thi sau khi phúc khảo, quy định miễn học Anh văn, xét miễn học phần,…);
Các công tác khác liên quan đến việc quản lý học vụ như: nghỉ học tạm thời, thôi học, chuyển bậc, chuyển hệ đào tạo, danh sách xử lý học vụ,…
Giải đáp thắc mắc về các vấn đề liên quan đến chương trình đào tạo, học ngành 2, thực tập và tốt nghiệp,...
Hỗ trợ, chia sẻ những khó khăn trong quá trình học tập, cùng sinh viên tìm hiểu về chuyên ngành và định hướng nghề nghiệp của bản thân trong tương lai.
Giải đáp những thắc mắc của sinh viên trong nhiều lĩnh vực khác nhau như: tình bạn, tình yêu, tâm sinh lý hay những khó khăn trong các mối quan hệ cá nhân,…(tham vấn tâm lý)
* Thông tin liên hệ

Văn phòng Tư vấn và hỗ trợ
Phòng E0001 (nhà E)
Email: tuvanhocduong@tdtu.edu.vn
Website: tuvanhocduong.tdt.edu.vn
Điện thoại: (028) 22 477 215",trường đại học Tôn Đức Thắng,https://undergrad.tdtu.edu.vn/don-vi-quan-ly-hoc-vu/van-phong-tu-van-va-ho-tro
6,Ngành Bảo hộ lao động,"Bảo hộ lao động là ngành học đón đầu xu hướng mới trong nền kinh tế hội nhập toàn cầu, ứng dụng các kiến thức về an toàn và vệ sinh lao động để nghiên cứu nguyên nhân và tìm ra các giải pháp phòng ngừa tai nạn lao động, các yếu tố độc hại gây ảnh hưởng đến sức khoẻ và môi trường, sự cố cháy nổ trong sản xuất, … nhằm đảm bảo sức khoẻ và an toàn tính mạng cho người lao động.
Kỹ sư bảo hộ lao động có thể tự tin ứng tuyển làm việc tại tất cả các doanh nghiệp sản xuất, các tập đoàn đa quốc gia, các dự án công trình xây dựng, cơ quan quản lý nhà nước về an toàn lao động ở những vị trí như chuyên viên tư vấn xây dựng hệ thống an toàn sức khỏe nghề nghiệp theo tiêu chuẩn quốc tế; chuyên gia vận hành và đánh giá hệ thống an toàn sức khỏe nghề nghiệp; chuyên viên quản lý rủi ro trong lao động, chuyên viên đánh giá các hệ thống quản lý chất lượng, an toàn, môi trường doanh nghiệp, thanh tra chịu trách nhiệm kiểm tra và kiểm định tại các cơ quan quản lý Nhà nước về an toàn vệ sinh lao động. Ngoài ra, sinh viên sau khi tốt nghiệp còn có khả năng khởi nghiệp các công ty tư vấn, đào tạo và xử lý sự cố liên quan đến an toàn vệ sinh lao động cho các đối tượng khách hàng cá nhân và doanh nghiệp.
Sinh viên được đào tạo kiến thức tích hợp cả 2 lĩnh vực bao gồm quản lý và kỹ thuật an toàn vệ sinh lao động. Ngoài các kiến thức cơ bản, sinh viên được trang bị các kiến thức về kỹ thuật an toàn cơ khí, máy móc thiết bị, điện, hoá chất, phòng chống cháy nổ, sức khoẻ nghề nghiệp, tâm lý lao động, ergonomics, … và kỹ năng chuyên ngành về quản lý dự án; điều tra, khảo sát, phân tích, đánh giá và quản lý môi trường lao động; đề xuất các giải pháp công nghệ và tổ chức nhằm đảm bảo an toàn vệ sinh và bảo vệ sức khỏe người lao động, …
Điểm nổi bật của chương trình đào tạo là được thiết kế với hơn 45% thời lượng học tại doanh nghiệp hoặc các phòng thí nghiệm, với sự tham gia giảng dạy của đội ngũ các nhà khoa học trong lĩnh vực an toàn – sức khỏe nghề nghiệp và các chuyên gia OHS đang làm việc tại doanh nghiệp, qua đó giúp sinh viên củng cố kiến thức đã học, nâng cao năng lực tư duy và rèn luyện kỹ năng làm việc độc lập, đáp ứng tối đa nhu cầu tuyển dụng nguồn nhân lực chất lượng cao cho xã hội.
Nhà trường thường xuyên cập nhật, cải tiến chương trình đào tạo của ngành theo hướng ứng dụng, thực tiễn, gắn kết chặt chẽ với doanh nghiệp, các tổ chức nghiên cứu - đào tạo trong và ngoài nước. Thông qua các buổi hội thảo chuyên đề nghiên cứu ứng dụng, các buổi sinh hoạt học thuật hoặc cán dự án nghiên cứu khoa học đầy tiềm năng, sinh viên được tạo điều kiện để tham gia học hỏi, tìm hiểu, thu thập dữ liệu để phân tích, đánh giá và tìm ra các giải pháp khắc phục hoặc đổi mới giúp hạn chế tối đa những thương tích, giảm thiểu thiệt hại về tính mạng, tài sản cho người lao động và doanh nghiệp, dưới sự dẫn dắt của các chuyên gia hàng đầu đến từ các công ty trong nước và quốc tế.
Sinh viên ngành Bảo hộ lao động sau khi tốt nghiệp có năng lực vận dụng kiến thức và kỹ năng chuyên môn đã được trang bị để tư vấn, tham mưu và triển khai cho doanh nghiệp các giải pháp về kỹ thuật; quản lý và huấn luyện nhằm đảm bảo an toàn trong sản xuất, bảo vệ tính mạng, sức khỏe cho người lao động và tài sản cho doanh nghiệp.",trường đại học Tôn Đức Thắng,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/bao-ho-lao-dong
7,Ngành Công nghệ sinh học,"Công nghệ sinh học là ngành ứng dụng các kiến thức trong lĩnh vực sinh học nhằm nghiên cứu và sản xuất ra các sản phẩm sinh học thiết yếu, sản phẩm có giá trị cao như vaccine, kháng sinh, xăng sinh học; cải tiến chất lượng giống cây trồng, ứng dụng vi sinh để xử lý nước thải công nghiệp, ứng dụng các hợp chất tự nhiên để điều trị bệnh và những ứng dụng khác phục vụ cho đời sống con người.

Với cách tiếp cận và xây dựng chương trình đào tạo hiện đại, tiệm cận với các nền giáo dục tiên tiến và sát với yêu cầu về nguồn nhân lực của thị trường lao động, sinh viên sau khi tốt nghiệp ngành Công nghệ sinh học có thể đảm nhiệm các vị trí như: Phụ trách nghiên cứu và phát triển sản phẩm mới; phụ trách quản lý hệ thống và kiểm định dây chuyền sản xuất của nhà máy; phụ trách theo dõi và kiểm soát vi sinh sản phẩm; chẩn đoán bệnh bằng công nghệ di truyền, liệu pháp gene, công nghệ tế bào gốc; phụ trách theo dõi và phát triển phôi thụ tinh trong ống nghiệm, nghiên cứu và chế tạo vaccine; phụ trách lai tạo, chuyển gen để tạo ra giống cây trồng mới, … Ngoài ra, Kỹ sư Công nghệ sinh học còn có thể tiếp tục học lên cao học trong các lĩnh vực tin sinh học, di truyền, …
Sinh viên được học các kiến thức từ cơ bản đến chuyên sâu như sinh học phân tử, sinh học tế bào, di truyền học, vi sinh vật học, hóa sinh, hóa lý, sinh thái học, công nghệ protein - enzyme, công nghệ gene tái tổ hợp…

Ngoài kiến thức chuyên môn được trang bị theo chương trình đào tạo quốc tế, sinh viên còn được thực hành trong các trung tâm thí nghiệm với thiết bị hiện đại và liên tục cập nhật. Ngoài ra, Nhà trường còn chú trọng đầu tư xây dựng các phòng thí nghiệm vi sinh, sinh học phân tử, nuôi cấy mô, vườn ươm, nhà kính thủy canh, nhà nấm, vườn dược liệu, … nhằm phục vụ nhu cầu học tập và nghiên cứu của sinh viên.

Số tiết học thực hành chiếm khoảng 50% trong chương trình đào tạo, giúp sinh viên được trải nghiệm thực tế, góp phần nâng cao tay nghề bên cạnh việc tiếp thu kiến thức chuyên môn.

Các học phần thuộc khối kiến thức chuyên ngành đều có sự tham gia của các doanh nghiệp dưới hình thức tham quan, trải nghiệm thực tế quy trình sản xuất, phân tích tình huống hoặc các buổi sinh hoạt học thuật về ứng dụng kiến thức sinh học vào thực tiễn như: quản lý nước thải, cải tiến chất lượng giống cây trồng, sản xuất nhiên liệu sinh học, nghiên cứu phương pháp chế tạo vaccine, thiết kế thuốc và liệu pháp gene, …

Trong một số môn học chuyên sâu, các chuyên gia đến từ doanh nghiệp sẽ cùng với giảng viên của trường giảng dạy và hướng dẫn sinh viên thực hiện các dự án nghiên cứu ngay tại doanh nghiệp, từ đó nâng cao khả năng thực hành nghề nghiệp cho sinh viên ngay khi còn ngồi trên ghế Nhà trường. Tính ứng dụng của các học phần được thiết kế theo hướng tăng dần từ cấp độ cơ bản đến cấp độ sinh viên tự mình nghiên cứu và thực nghiệm các đề tài khoa học mang tính ứng dụng vào thực tiễn trong quá trình thực hiện khóa luận tốt nghiệp.",trường đại học Tôn Đức Thắng,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/cong-nghe-sinh-hoc
8,Ngành Công tác xã hội,"Công tác xã hội là ngành khoa học vận dụng những lý thuyết của công tác xã hội, khoa học xã hội, khoa học nhân văn và kiến thức bản địa nhằm thúc đẩy sự tiến bộ và phát triển xã hội, giúp con người tự giải quyết vấn đề của chính mình nhờ vào các nguyên tắc công bằng xã hội, quyền con người, tinh thần trách nhiệm chung và tôn trọng sự đa dạng bản sắc văn hoá dân tộc.

Người học tốt nghiệp ngành Công tác xã hội sẽ có khả năng làm việc tại các tổ chức xã hội Việt Nam và quốc tế; các cơ quan quản lý nhà nước về mặt xã hội như phòng, sở Lao động – xã hội; các tổ chức chính trị - xã hội như Đoàn thanh niên, Hội phụ nữ. Cử nhân công tác xã hội có thể làm chuyên viên cao cấp trong các trường học, bệnh viện, bộ phận trách nhiệm xã hội của doanh nghiệp, tham vấn và tư vấn ban đầu về tâm lý và sức khỏe cộng đồng. Tốt nghiệp công tác xã hội còn là nền tảng để người học tiếp tục học tập, giảng dạy và nghiên cứu tại các trường đại học, học viện hoặc có thể tự thành lập và điều hành các doanh nghiệp xã hội, tổ chức phi chính phủ, cơ sở trợ giúp xã hội.
Sinh viên được trang bị những kiến thức cơ bản về tâm lý, hành vi con người và môi trường xã hội, cách thức làm việc hiệu quả với những người gặp vấn đề khó khăn trong xã hội. Bên cạnh đó, sinh viên còn được trang bị các kỹ năng để thấu hiểu hành vi của con người; phân tích và xác định nhu cầu của con người; vận động và thu hút nguồn lực xã hội; xây dựng và quản lý dự án phát triển cộng đồng; làm việc hiệu quả trong môi trường đa dạng về dân tộc, văn hóa, …

Đặc biệt, chương trình đào tạo ngành công tác xã hội có số giờ thực tế, thực hành và tập sự thuộc nhóm các trường đào tạo công tác xã hội tại Việt Nam cao nhất trong nước, với hơn 600 giờ học tại cơ quan, tổ chức xã hội và doanh nghiệp. Sinh viên được tham gia học phần thực tế nghề nghiệp ngay từ những năm học đầu tiên và thực hành kỹ năng nghề nghiệp liên tục ở các năm học tiếp theo để nâng cao năng lực chuyên môn; vận dụng các kiến thức đã học vào thực tiễn để nghiên cứu, phân tích và đề xuất các giải pháp đảm bảo lợi ích cho cộng đồng.

Bên cạnh các môn học lý thuyết, sinh viên còn được tham gia các buổi chia sẻ chuyên đề đến từ chuyên gia đến từ các tổ chức, doanh nghiệp uy tín. Với phương châm “đem thực tiễn đến giảng đường, đem lý thuyết ra thực địa”, Nhà trường đã ký kết hợp tác với nhiều trung tâm công tác xã hội, cơ sở xã hội, các cơ quan, tổ chức thuộc Đoàn thể Nhà nước, doanh nghiệp trong lĩnh vực xã hội - tâm lý để tạo cơ hội cho sinh viên sớm tiếp cận và nâng cao tay nghề thông qua hình thức tham quan, kiến tập và nghiên cứu các vấn đề thực tế ngay tại nơi làm việc.",trường đại học Tôn Đức Thắng,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/cong-tac-xa-hoi
9,Ngành Dược,"Dược học là ngành học ứng dụng khoa học công nghệ để nghiên cứu về sự tương quan giữa thuốc với cơ thể người và cách sử dụng thuốc trong điều trị bệnh, đảm bảo chất lượng và phân phối thuốc cũng như cung cấp thông tin, hướng dẫn sử dụng thuốc cho cộng đồng.

Sinh viên sau khi tốt nghiệp được trang bị đầy đủ kiến thức và kỹ năng chuyên môn về quản lý, bào chế, sản xuất và lưu thông thuốc để có đủ tự tin hòa nhập vào đội ngũ y tế cộng đồng và tham gia vào tất cả các cơ sở hành nghề dược với các vị trí như: dược sĩ tư vấn sử dụng thuốc tại các nhà thuốc; dược sĩ nghiên cứu và phát triển thuốc của các công ty, xí nghiệp sản xuất thuốc tân dược, đông dược và sinh phẩm y tế, công ty xuất nhập khẩu và phân phối thuốc; chuyên viên kiểm nghiệm chất lượng và nguyên liệu làm thuốc tại các bệnh viện, trung tâm kiểm nghiệm của Trung ương, địa phương; dược sĩ cung ứng thuốc nội - ngoại trú bệnh viện; giảng viên giảng dạy chuyên ngành Dược tại các trường Đại học, …
Sinh viên theo học ngành Dược được trang bị khối kiến thức khoa học cơ bản và dược học cơ sở như hoá đại cương, sinh học đại cương, vật lý đại cương, giải phẫu - sinh lý, thực vật dược, công nghệ sinh học Dược, hóa lý dược, hóa phân tích, … Nhà trường còn cung cấp kiến thức chuyên môn cũng như kỹ năng về tất cả các lĩnh vực của chuyên ngành dược như hoá dược, dược liệu, dược lý, dược lâm sàng, kiểm nghiệm - đảm bảo chất lượng thuốc, kinh tế dược, quản lý và phân phối thuốc, …

Bên cạnh đó, sinh viên còn được thực hành tại các phòng thí nghiệm liên tục cập nhật trang thiết bị và máy móc hiện đại. Giáo trình lý thuyết và thực hành được thiết kế theo xu hướng nghề nghiệp nhằm cung cấp kịp thời cho sinh viên kiến thức mới nhất. Với thời lượng các môn thí nghiệm cao, sinh viên được củng cố và vận dụng lý thuyết đã học để ứng dụng vào thực tế, từ đó nâng cao tay nghề và kỹ năng cần thiết, đáp ứng yêu cầu của thị trường lao động trong lĩnh vực sức khỏe cộng đồng.

Sinh viên được tham gia công tác nghiên cứu khoa học với các đề tài có liên quan mật thiết đến nghiên cứu, phát triển thuốc và mối liên hệ của thuốc với sức khỏe con người, dưới sự hướng dẫn tận tình của các giảng viên giàu kinh nghiệm, giúp sinh viên bước đầu tiếp xúc với công tác nghiên cứu, áp dụng kiến thức đã học vào thực tế.

Với chương trình học được xây dựng theo hướng kết nối với doanh nghiệp, sinh viên được đạo điều kiện để tham gia học hỏi và kiến tập tại các cơ sở hành nghề Dược uy tín như chuỗi nhà thuốc Long Châu, An Khang, công ty Bepharco, Tipharco, Trung tâm bảo tồn Dược liệu Mephydica, Bệnh viện Pháp Việt, Vinmec, …giúp sinh viên làm quen với môi trường nghề nghiệp thực tế, rèn luyện tác phong, kỷ luật làm việc cũng như tích lũy kinh nghiệm chuyên môn.",trường đại học Tôn Đức Thắng,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/duoc
10,Ngành Kế toán,"Kế toán, kiểm toán không chỉ là công cụ quản lý kinh tế – tài chính thuần túy, mà đã trở thành một lĩnh vực dịch vụ, một nghề nghiệp then chốt trong nền kinh tế thị trường. Đây là ngành quan trọng trong việc chuyển tải những thông tin kinh doanh đến các bên liên quan để làm nền tảng cho những quyết định chiến lược về những vấn đề tài chính doanh nghiệp và cá nhân, tuân thủ các quy định luật pháp, đáp ứng nhu cầu phát triển kinh tế của doanh nghiệp toàn cầu.

Cử nhân ngành Kế toán sau khi tốt nghiệp đủ khả năng và tự tin làm việc tại các cơ quan nhà nước, doanh nghiệp, các công ty kiểm toán độc lập trong nước và quốc tế, đặc biệt là cơ hội làm việc tại các công ty đa quốc gia, các công ty kiểm toán quốc tế với các vị trí như kế toán thuế, kế toán tài chính, kế toán quản trị, kế toán khu vực công, kế toán ngân hàng; kiểm toán độc lập, kiểm toán nội bộ, kiểm toán nhà nước, nhân viên tư vấn kế toán – tài chính, chuyên viên tư vấn kế toán – thuế hoặc trở thành cán bộ nghiên cứu, giảng viên ngành Kế toán tại các Trường, Viện, các cơ sở đào tạo nguồn nhân lực kế toán, kiểm toán. 
Sinh viên sẽ được trang bị các khối kiến thức, bao gồm các kiến thức chung như Ngoại ngữ, tin học, toán học, kiến thức xã hội, … và các phần kiến thức chuyên ngành về kế toán tài chính và quản trị, quản lý tài chính, thuế, kiểm toán, và luật thương mại, … Bên cạnh đó, sinh viên còn được mở rộng kiến thức của mình trong nhiều lĩnh vực kinh doanh khác như marketing, kinh tế và tài chính, quản lý và khởi nghiệp, … Ngoài ra, chương trình còn cung cấp thêm cho sinh viên một số phần mềm chuyên dụng được cập nhật liên tục theo xu hướng hiện đại của thế giới để làm công cụ hỗ trợ cho sự nghiệp trong tương lai.

Thông qua chương trình đào tạo được xây dựng theo chuẩn quốc tế và bám sát với nhu cầu thực tiễn của xã hội, Nhà trường luôn chú trọng hợp tác và mở rộng mạng lưới doanh nghiệp nhằm tạo điều kiện cho sinh viên có cơ hội học hỏi và tiếp xúc sớm với môi trường công việc thực tế ngay từ những năm đầu Đại học để phát triển khả năng tư duy, phân tích và đánh giá kinh tế thị trường.

Nhà trường còn thường xuyên tổ chức các buổi hội thảo, sinh hoạt học thuật hoặc các cuộc thi chuyên ngành về lĩnh vực kế toán - kiểm toán, tạo môi trường cho sinh viên được giao lưu và trải nghiệm nghề nghiệp trong cùng lĩnh vực. Sinh viên còn có cơ hội học tập thêm các chứng chỉ quốc tế về kế toán, kiểm toán để mở rộng cơ hội nghề nghiệp tại các doanh nghiệp nước ngoài và các tập đoàn đa quốc gia. ",trường đại học Tôn Đức Thắng,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/ke-toan
